County,Meridian,Section,Township,Range,Legal Description,Legal Description Short,Surface Acres,Land Class Description,PLSSID,FRSTDIVID,SECDIVID,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",SWNW,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWNW,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",NWSW,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANWSW,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",SWSW,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWSW,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",NENW,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANENW,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",SENW,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASENW,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",NESW,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANESW,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",SESW,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASESW,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",NESE,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANESE,,,,,,,,,,,,,,,,,
Fall River,7,35,008S,07E,"W2,SE4",SESE,480,"DOC, JUVENILE PROGRAMS",SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASESE,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",L1,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010L1,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNW,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASWNW,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSW,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ANWSW,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSW,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASWSW,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",L3,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010L3,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNE,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASWNE,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSE,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ANWSE,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSE,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASWSE,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",L2,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010L2,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENW,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASENW,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESW,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ANESW,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESW,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASESW,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",L4,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010L4,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENE,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASENE,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESE,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ANESE,,,,,,,,,,,,,,,,,
Harding,7,1,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESE,628.62,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN010,SD070170N0020E0SN010ASESE,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",L1,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020L1,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENE,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASENE,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESE,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ANESE,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESE,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASESE,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",L4,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020L4,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNW,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASWNW,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSW,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ANWSW,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSW,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASWSW,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",L3,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020L3,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENW,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASENW,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESW,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ANESW,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESW,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASESW,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",L2,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020L2,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNE,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASWNE,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSE,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ANWSE,,,,,,,,,,,,,,,,,
Harding,7,2,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSE,639.7,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN020,SD070170N0020E0SN020ASWSE,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",L3,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040L3,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNE,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASWNE,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESW,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ANESW,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESW,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASESW,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",L2,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040L2,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENW,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASENW,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSE,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ANWSE,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSE,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASWSE,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",L4,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040L4,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENE,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASENE,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSW,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ANWSW,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSW,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASWSW,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",L1,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040L1,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNW,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASWNW,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESE,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ANESE,,,,,,,,,,,,,,,,,
Harding,7,4,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESE,640.12,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN040,SD070170N0020E0SN040ASESE,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",L4,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030L4,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNW,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASWNW,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSW,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ANWSW,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSW,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASWSW,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",L2,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030L2,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWNE,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASWNE,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",NWSE,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ANWSE,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SWSE,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASWSE,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",L1,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030L1,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENE,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASENE,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESE,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ANESE,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESE,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASESE,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",L3,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030L3,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SENW,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASENW,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",NESW,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ANESW,,,,,,,,,,,,,,,,,
Harding,7,3,017N,02E,"Lots 1,2,3,4, S2N2, S2",SESW,640.44,"DOC, JUVENILE PROGRAMS",SD070170N0020E0,SD070170N0020E0SN030,SD070170N0020E0SN030ASESW,,,,,,,,,,,,,,,,,
