Township,Range,Section,Description and Class,Mineral Acres,County,MERIDIAN,Legal Description Short,PLSSID,FRSTDIVID,SECDIVID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,STEWARD,TWNSHPLAB,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVLAB,QSEC,QQSEC,GOVLOT,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),SECDIVNOTE
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ANESE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,NESE,NESE,SE,NESE,,40 Acres,40.0,40.09897857,1318550400000.0,{2890C122-8C27-4A10-A7F7-8804BFC90594},588333.0,305929.580504295,2212.4394986986263,
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ANWNW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANWNW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,NWNW,NWNW,NW,NWNW,,40 Acres,40.0,40.1128201,1318550400000.0,{8DE387DB-C1E5-4CD3-9659-E78FE7DD16A2},588279.0,306101.634823285,2213.0624148811653,
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ANWSE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,NWSE,NWSE,SE,NWSE,,40 Acres,40.0,40.10348894,1318550400000.0,{131293F8-3269-4E7E-BE27-F92ECD2BC13A},588332.0,305961.90200589,2212.5565788654676,
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ASENW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASENW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,SENW,SENW,NW,SENW,,40 Acres,40.0,40.10552521,1318550400000.0,{5B5E1097-EA15-455C-B568-6BEED4BB3641},588307.0,306011.67655668,2212.736974953471,
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ASESE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,SESE,SESE,SE,SESE,,40 Acres,40.0,40.09581379,1318550400000.0,{5E826FDB-CBC9-492D-B146-3BE4F00E60EC},588357.0,305868.86566272,2212.2329928927297,
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ASWNW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASWNW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,SWNW,SWNW,NW,SWNW,,40 Acres,40.0,40.11261308,1318550400000.0,{30B6D085-142C-4949-AD2F-2BBAF7CC61C1},588304.0,306063.69840783,2212.9253831451124,
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ASWSE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,SWSE,SWSE,SE,SWSE,,40 Acres,40.0,40.10081697,1318550400000.0,{93973A12-1C4E-465F-B638-C22DAAD1FD39},588356.0,305904.9291768,2212.3512834069716,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ANESE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,NESE,NESE,SE,NESE,,40 Acres,40.0,40.08614027,1318550400000.0,{A4D140C3-F06E-419B-ADB4-97B199645EA0},588337.0,305839.78969361,2212.115063818742,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ANESW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANESW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,NESW,NESW,SW,NESW,,40 Acres,40.0,40.0821626,1318550400000.0,{8C9D4760-6278-48EC-BF35-D74F79175796},588335.0,305805.35990714,2211.991012185449,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ANWSE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,NWSE,NWSE,SE,NWSE,,40 Acres,40.0,40.08813612,1318550400000.0,{207FD625-9488-484D-B4F6-8B57611122A7},588336.0,305852.98435726,2212.1628815382433,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ANWSW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANWSW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,40.08093692,1318550400000.0,{1F967075-0119-4DE6-86AF-47F6F3B4DE87},588334.0,305793.93318015,2211.949661417018,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ASESE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,SESE,SESE,SE,SESE,,40 Acres,40.0,40.09691458,1318550400000.0,{34BF33B2-71B4-4D28-BEDA-209E670E039A},588361.0,305885.46933185,2212.272710430813,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ASESW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASESW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,SESW,SESW,SW,SESW,,40 Acres,40.0,40.08962615,1318550400000.0,{CAACED48-0342-447E-97F5-C95EA1E0BBAE},588359.0,305825.808446185,2212.0638015864256,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ASWSE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,SWSE,SWSE,SE,SWSE,,40 Acres,40.0,40.0987577,1318550400000.0,{47D0416A-474F-42BC-B45A-00E2675EAFD2},588360.0,305897.4709042,2212.3269139258427,
8.0,7.0,34.0,S2 - T,320.0,Fall River County,7,ASWSW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASWSW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,34,0,34,A,Aliquot Part,SWSW,SWSW,SW,SWSW,,40 Acres,40.0,40.08826559,1318550400000.0,{15254935-629F-4716-97B8-AD3D07D2B168},588358.0,305813.301557645,2212.018281766075,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ANENW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANENW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,NENW,NENW,NW,NENW,,40 Acres,40.0,40.10248766,1318550400000.0,{76F0B597-43DE-4AAC-B51E-94E1453317EE},588291.0,306041.306094205,2212.8430522473877,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ANESE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,NESE,NESE,SE,NESE,,40 Acres,40.0,40.11371888,1318550400000.0,{B14BD932-81D9-4001-B906-5BEF3640B034},588341.0,306058.43378602,2212.9052341385745,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ANESW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANESW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,NESW,NESW,SW,NESW,,40 Acres,40.0,40.10640577,1318550400000.0,{8B5AFDE1-4C32-4370-B35C-FA4D824206B4},588339.0,305998.54749091,2212.688795586179,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ANWNW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANWNW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,NWNW,NWNW,NW,NWNW,,40 Acres,40.0,40.10121289,1318550400000.0,{9FD0387F-43F3-4D46-8EB1-C73BC85B8EDE},588290.0,306029.4523464,2212.800107719703,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ANWSE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,NWSE,NWSE,SE,NWSE,,40 Acres,40.0,40.11321477,1318550400000.0,{F341CCBB-7FC9-4233-BD37-6CEB6DB77E82},588340.0,306052.52779587,2212.8838824482464,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ANWSW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANWSW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,40.1016938,1318550400000.0,{0B6887A2-02A7-42DF-83EF-FDD99F39DB09},588338.0,305960.53607123,2212.5511125387625,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ASENW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASENW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,SENW,SENW,NW,SENW,,40 Acres,40.0,40.10210573,1318550400000.0,{FB0B36BB-7AC7-4931-BA9F-E2909FD17E12},588315.0,306002.05841561,2212.701208080932,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ASESE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,SESE,SESE,SE,SESE,,40 Acres,40.0,40.11855976,1318550400000.0,{A6B5FA18-58D5-4344-BB05-B5A8476A35DE},588365.0,306058.815946205,2212.9001307034955,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ASESW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASESW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,SESW,SESW,SW,SESW,,40 Acres,40.0,40.10738741,1318550400000.0,{06FD0204-5B5A-4EDB-8945-23FB5DBDA4DB},588363.0,305969.47047437,2212.5805945382826,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ASWNW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWNW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,SWNW,SWNW,NW,SWNW,,40 Acres,40.0,40.10086427,1318550400000.0,{A970CCE8-9750-4644-BC43-C993B92FC84B},588314.0,305990.51916871,2212.6594232148846,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ASWSE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,SWSE,SWSE,SE,SWSE,,40 Acres,40.0,40.11796894,1318550400000.0,{93D33636-F348-40F1-9568-40DA4F3AC4F9},588364.0,306052.231079145,2212.8828322830163,
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,7,ASWSW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWSW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,35,0,35,A,Aliquot Part,SWSW,SWSW,SW,SWSW,,40 Acres,40.0,40.10267743,1318550400000.0,{41796F02-75CC-4B93-8C1A-F9BDBACBFD0D},588362.0,305931.47514024,2212.443326686096,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANENE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANENE,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NENE,NENE,NE,NENE,,40 Acres,40.0,40.08712219,1318550400000.0,{D6FC408B-E865-44E7-89FB-CD7B59E73F3A},614394.0,304362.913299885,2206.770768471556,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANENW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANENW,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NENW,NENW,NW,NENW,,40 Acres,40.0,40.06922996,1318550400000.0,{F1EFD53A-21CE-44F8-A49D-09584B8D56E7},614392.0,304222.785313495,2206.2626769068315,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANESE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANESE,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NESE,NESE,SE,NESE,,40 Acres,40.0,40.08199685,1318550400000.0,{0EFC5735-8092-460B-89E7-8418327BCB2A},614442.0,304252.13446035,2206.3709949116806,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANESW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANESW,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NESW,NESW,SW,NESW,,40 Acres,40.0,40.06655432,1318550400000.0,{334C3B5C-3046-4E99-BEAC-A2A79D4E569A},614440.0,304130.64763324,2205.930429049767,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANWNE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWNE,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NWNE,NWNE,NE,NWNE,,40 Acres,40.0,40.07779057,1318550400000.0,{42354144-E1EF-48DA-97C7-3B6C1ECF66A8},614393.0,304289.8826973,2206.505873074772,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANWNW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWNW,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NWNW,NWNW,NW,NWNW,,40 Acres,40.0,40.06223555,1318550400000.0,{284EA1E1-0B62-44C2-96D8-7BBD22244CB2},614391.0,304167.48770611,2206.0622328474496,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANWSE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWSE,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NWSE,NWSE,SE,NWSE,,40 Acres,40.0,40.07489376,1318550400000.0,{D725E060-D71D-44AA-8EC2-4A3198595EC1},614441.0,304196.028851285,2206.1675255072387,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ANWSW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWSW,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,40.05699051,1318550400000.0,{EB30E235-DF5D-4D70-B608-765848365FB9},614439.0,304055.918466855,2205.6593090595334,
10.0,5.0,21.0,ALL - T,640.0,Fall River County,7,ASENE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASENE,SD,07,Black Hills Meridian,010,0,S,005,0,E,0,BLM Cadastral - MT,10S 5E,SN,Section,21,0,21,A,Aliquot Part,SENE,SENE,NE,SENE,,40 Acres,40.0,40.08411222,1318550400000.0,{019C5E43-CBE2-405A-B493-CC71234C386F},614418.0,304304.10298235,2206.5585137351313,
